published_date,count
2023-04-30,1
2023-05-01,288
2023-05-02,516
2023-05-03,534
2023-05-04,513
2023-05-05,526
2023-05-06,314
2023-05-07,311
2023-05-08,496
2023-05-09,547
2023-05-10,480
2023-05-11,421
2023-05-12,397
2023-05-13,320
2023-05-14,489
2023-05-15,501
2023-05-16,479
2023-05-17,503
2023-05-18,508
2023-05-19,439
2023-05-20,207
2023-05-21,408
2023-05-22,467
2023-05-23,584
2023-05-24,538
2023-05-25,560
2023-05-26,459
2023-05-27,263
2023-05-28,400
2023-05-29,522
2023-05-30,473
2023-05-31,461
2023-06-01,568
2023-06-02,411
2023-06-03,166
2023-06-04,482
2023-06-05,629
2023-06-06,722
2023-06-07,534
2023-06-08,471
2023-06-09,433
2023-06-10,146
2023-06-11,653
2023-06-12,621
2023-06-13,473
2023-06-14,535
2023-06-15,510
2023-06-16,577
2023-06-17,269
2023-06-18,331
2023-06-19,1013
2023-06-20,561
2023-06-21,546
2023-06-22,480
2023-06-23,441
2023-06-24,154
2023-06-25,509
2023-06-26,564
2023-06-27,534
2023-06-28,479
2023-06-29,495
2023-06-30,480
2023-07-01,336
2023-07-02,426
2023-07-03,620
2023-07-04,666
2023-07-05,422
2023-07-06,436
2023-07-07,497
2023-07-08,411
2023-07-09,314
2023-07-10,742
2023-07-11,755
2023-07-12,742
2023-07-13,647
2023-07-14,467
2023-07-15,671
2023-07-16,428
2023-07-17,667
2023-07-18,828
2023-07-19,685
2023-07-20,657
2023-07-21,607
2023-07-22,459
2023-07-23,395
2023-07-24,838
2023-07-25,828
2023-07-26,730
2023-07-27,723
2023-07-28,659
2023-07-29,297
2023-07-30,525
2023-07-31,643
2023-08-01,718
2023-08-02,665
2023-08-03,647
2023-08-04,518
2023-08-05,204
2023-08-06,567
2023-08-07,751
2023-08-08,685
2023-08-09,658
2023-08-10,684
2023-08-11,583
2023-08-12,391
2023-08-13,471
2023-08-14,607
2023-08-15,655
2023-08-16,659
2023-08-17,614
2023-08-18,564
2023-08-19,218
2023-08-20,231
2023-08-21,950
2023-08-22,834
2023-08-23,707
2023-08-24,678
2023-08-25,638
2023-08-26,334
2023-08-27,383
2023-08-28,611
2023-08-29,635
2023-08-30,847
2023-08-31,635
2023-09-01,678
2023-09-02,274
2023-09-03,331
2023-09-04,853
2023-09-05,745
2023-09-06,444
2023-09-07,555
2023-09-08,581
2023-09-09,288
2023-09-10,468
2023-09-11,785
2023-09-12,814
2023-09-13,815
2023-09-14,580
2023-09-15,691
2023-09-16,322
2023-09-17,418
2023-09-18,672
2023-09-19,603
2023-09-20,751
2023-09-21,672
2023-09-22,550
2023-09-23,189
2023-09-24,497
2023-09-25,742
2023-09-26,633
2023-09-27,500
2023-09-28,402
2023-09-29,548
2023-09-30,426
2023-10-01,303
2023-10-02,816
2023-10-03,699
2023-10-04,714
2023-10-05,645
2023-10-06,565
2023-10-07,326
2023-10-08,396
2023-10-09,650
2023-10-10,602
2023-10-11,606
2023-10-12,608
2023-10-13,513
2023-10-14,393
2023-10-15,368
2023-10-16,597
2023-10-17,705
2023-10-18,646
2023-10-19,472
2023-10-20,487
2023-10-21,363
2023-10-22,253
2023-10-23,705
2023-10-24,527
2023-10-25,483
2023-10-26,549
2023-10-27,482
2023-10-28,261
2023-10-29,455
2023-10-30,730
2023-10-31,594
2023-11-01,616
2023-11-02,532
2023-11-03,551
2023-11-04,426
2023-11-05,442
2023-11-06,587
2023-11-07,714
2023-11-08,503
2023-11-09,506
2023-11-10,572
2023-11-11,218
2023-11-12,617
2023-11-13,576
2023-11-14,736
2023-11-15,618
2023-11-16,482
2023-11-17,515
2023-11-18,283
2023-11-19,470
2023-11-20,581
2023-11-21,723
2023-11-22,545
2023-11-23,529
2023-11-24,464
2023-11-25,250
2023-11-26,383
2023-11-27,432
2023-11-28,613
2023-11-29,562
2023-11-30,529
2023-12-01,504
2023-12-02,336
2023-12-03,397
2023-12-04,560
2023-12-05,500
2023-12-06,520
2023-12-07,477
2023-12-08,465
2023-12-09,265
2023-12-10,560
2023-12-11,516
2023-12-12,473
2023-12-13,465
2023-12-14,432
2023-12-15,389
2023-12-16,386
2023-12-17,340
2023-12-18,357
2023-12-19,470
2023-12-20,520
2023-12-21,421
2023-12-22,472
2023-12-23,400
2023-12-24,315
2023-12-25,259
2023-12-26,261
2023-12-27,416
2023-12-28,408
2023-12-29,380
2023-12-30,259
2023-12-31,339
2024-01-01,312
2024-01-02,455
2024-01-03,503
2024-01-04,581
2024-01-05,476
2024-01-06,268
2024-01-07,183
2024-01-08,683
2024-01-09,668
2024-01-10,500
2024-01-11,537
2024-01-12,470
2024-01-13,257
2024-01-14,426
2024-01-15,469
2024-01-16,495
2024-01-17,441
2024-01-18,374
2024-01-19,481
2024-01-20,264
2024-01-21,348
2024-01-22,411
2024-01-23,460
2024-01-24,453
2024-01-25,455
2024-01-26,501
2024-01-27,279
2024-01-28,373
2024-01-29,378
2024-01-30,412
2024-01-31,398
2024-02-01,518
2024-02-02,536
2024-02-03,389
2024-02-04,300
2024-02-05,585
2024-02-06,657
2024-02-07,687
2024-02-08,581
2024-02-09,20
2024-02-10,17
2024-02-11,56
2024-02-12,176
2024-02-13,125
2024-02-14,183
2024-02-15,176
2024-02-16,52
2024-02-17,9
2024-02-18,128
2024-02-19,179
2024-02-20,95
2024-02-21,261
2024-02-22,165
2024-02-23,52
2024-02-24,15
2024-02-25,147
2024-02-26,48
2024-02-27,187
2024-02-28,41
2024-02-29,179
2024-03-01,23
2024-03-02,12
2024-03-03,19
2024-03-04,95
2024-03-05,118
2024-03-06,70
2024-03-07,110
2024-03-08,25
2024-03-09,9
2024-03-10,153
2024-03-11,158
2024-03-12,104
2024-03-13,185
2024-03-14,144
2024-03-15,26
2024-03-16,23
2024-03-17,8
2024-03-18,175
2024-03-19,35
2024-03-20,165
2024-03-21,201
2024-03-22,40
2024-03-23,12
2024-03-24,10
2024-03-25,199
2024-03-26,46
2024-03-27,27
2024-03-28,17
2024-03-29,4
2024-03-30,4
2024-03-31,4
2024-04-01,137
2024-04-02,106
2024-04-03,212
2024-04-04,40
2024-04-05,97
2024-04-06,20
2024-04-07,16
2024-04-08,137
2024-04-09,26
2024-04-10,16
2024-04-11,121
2024-04-12,26
2024-04-13,6
2024-04-14,43
2024-04-15,27
2024-04-16,174
2024-04-17,50
2024-04-18,212
2024-04-19,97
2024-04-20,10
2024-04-21,271
2024-04-22,81
2024-04-23,113
2024-04-24,54
2024-04-25,81
2024-04-26,11
2024-04-27,7
2024-04-28,246
2024-04-29,66
2024-04-30,97
2024-05-01,68
2024-05-02,87
2024-05-03,12
2024-05-04,9
2024-05-05,143
2024-05-06,36
2024-05-07,135
2024-05-08,65
2024-05-09,55
2024-05-10,96
2024-05-11,3
2024-05-12,31
2024-05-13,122
2024-05-14,58
2024-05-15,186
2024-05-16,32
2024-05-17,105
2024-05-18,5
2024-05-19,29
2024-05-20,90
2024-05-21,30
2024-05-22,122
2024-05-23,159
2024-05-24,101
2024-05-25,20
2024-05-26,46
2024-05-27,173
2024-05-28,7
2024-05-29,206
2024-05-30,98
2024-05-31,103
2024-06-01,7
2024-06-02,24
2024-06-03,22
2024-06-04,125
2024-06-05,200
2024-06-06,47
2024-06-07,102
2024-06-08,25
2024-06-09,114
2024-06-10,23
2024-06-11,161
2024-06-12,130
2024-06-13,49
2024-06-14,78
2024-06-15,16
2024-06-16,37
2024-06-17,55
2024-06-18,64
2024-06-19,28
2024-06-20,118
2024-06-21,65
2024-06-22,6
2024-06-23,5
2024-06-24,34
2024-06-25,79
2024-06-26,44
2024-06-27,206
2024-06-28,96
2024-06-29,12
2024-06-30,110
2024-07-01,30
2024-07-02,127
2024-07-03,201
2024-07-04,110
2024-07-05,40
2024-07-06,6
2024-07-07,82
2024-07-08,55
2024-07-09,162
2024-07-10,188
2024-07-11,164
2024-07-12,110
2024-07-13,62
2024-07-14,8
2024-07-15,82
2024-07-16,150
2024-07-17,99
2024-07-18,147
2024-07-19,56
2024-07-20,10
2024-07-21,83
2024-07-22,171
2024-07-23,235
2024-07-24,226
2024-07-25,196
2024-07-26,190
2024-07-27,5
2024-07-28,114
2024-07-29,78
2024-07-30,266
2024-07-31,297
2024-08-01,317
2024-08-02,331
2024-08-03,284
2024-08-04,268
2024-08-05,313
2024-08-06,355
2024-08-07,411
2024-08-08,437
2024-08-09,458
2024-08-10,324
2024-08-11,306
2024-08-12,750
2024-08-13,729
2024-08-14,537
2024-08-15,542
2024-08-16,567
2024-08-17,304
2024-08-18,315
2024-08-19,654
2024-08-20,734
2024-08-21,457
2024-08-22,599
2024-08-23,514
2024-08-24,303
2024-08-25,237
2024-08-26,553
2024-08-27,576
2024-08-28,589
2024-08-29,526
2024-08-30,586
2024-08-31,230
2024-09-01,257
2024-09-02,566
2024-09-03,652
2024-09-04,667
2024-09-05,555
2024-09-06,479
2024-09-07,402
2024-09-08,340
2024-09-09,490
2024-09-10,502
2024-09-11,423
2024-09-12,753
2024-09-13,480
2024-09-14,234
2024-09-15,394
2024-09-16,563
2024-09-17,864
2024-09-18,553
2024-09-19,577
2024-09-20,689
2024-09-21,347
2024-09-22,375
2024-09-23,625
2024-09-24,634
2024-09-25,738
2024-09-26,625
2024-09-27,776
2024-09-28,259
2024-09-29,370
2024-09-30,721
2024-10-01,630
2024-10-02,680
2024-10-03,646
2024-10-04,638
2024-10-05,380
2024-10-06,309
2024-10-07,899
2024-10-08,625
2024-10-09,742
2024-10-10,735
2024-10-11,648
2024-10-12,310
2024-10-13,297
2024-10-14,737
2024-10-15,717
2024-10-16,680
2024-10-17,514
2024-10-18,724
2024-10-19,386
2024-10-20,395
2024-10-21,720
2024-10-22,651
2024-10-23,614
2024-10-24,617
2024-10-25,500
2024-10-26,364
2024-10-27,412
2024-10-28,594
2024-10-29,520
2024-10-30,647
2024-10-31,685
2024-11-01,575
2024-11-02,375
2024-11-03,363
2024-11-04,592
2024-11-05,608
2024-11-06,697
2024-11-07,780
2024-11-08,520
2024-11-09,329
2024-11-10,437
2024-11-11,829
2024-11-12,649
2024-11-13,508
2024-11-14,609
2024-11-15,652
2024-11-16,378
2024-11-17,384
2024-11-18,699
2024-11-19,771
2024-11-20,642
2024-11-21,559
2024-11-22,512
2024-11-23,359
2024-11-24,357
2024-11-25,714
2024-11-26,646
2024-11-27,647
2024-11-28,759
2024-11-29,642
2024-11-30,292
2024-12-01,356
2024-12-02,635
2024-12-03,453
2024-12-04,413
2024-12-05,371
2024-12-06,379
2024-12-07,327
2024-12-08,110
2024-12-09,610
2024-12-10,361
2024-12-11,358
2024-12-12,436
2024-12-13,574
2024-12-14,372
2024-12-15,362
2024-12-16,657
2024-12-17,564
2024-12-18,703
2024-12-19,624
2024-12-20,553
2024-12-21,232
2024-12-22,653
2024-12-23,740
2024-12-24,462
2024-12-25,691
2024-12-26,697
2024-12-27,594
2024-12-28,422
2024-12-29,480
2024-12-30,833
2024-12-31,687
2025-01-01,547
2025-01-02,502
2025-01-03,721
2025-01-04,260
2025-01-05,497
2025-01-06,898
2025-01-07,942
2025-01-08,1002
2025-01-09,1047
2025-01-10,942
2025-01-11,353
2025-01-12,510
2025-01-13,919
2025-01-14,898
2025-01-15,915
2025-01-16,830
2025-01-17,764
2025-01-18,307
2025-01-19,479
2025-01-20,955
2025-01-21,920
2025-01-22,931
2025-01-23,929
2025-01-24,884
2025-01-25,540
2025-01-26,399
2025-01-27,1110
2025-01-28,963
2025-01-29,1067
2025-01-30,976
2025-01-31,1022
2025-02-01,476
2025-02-02,382
2025-02-03,1131
2025-02-04,1061
2025-02-05,852
2025-02-06,909
2025-02-07,916
2025-02-08,284
2025-02-09,461
2025-02-10,1174
2025-02-11,977
2025-02-12,809
2025-02-13,951
2025-02-14,943
2025-02-15,346
2025-02-16,465
2025-02-17,973
2025-02-18,908
2025-02-19,968
2025-02-20,759
2025-02-21,729
2025-02-22,570
2025-02-23,469
2025-02-24,792
2025-02-25,755
2025-02-26,812
2025-02-27,836
2025-02-28,736
2025-03-01,322
2025-03-02,379
2025-03-03,1187
2025-03-04,934
2025-03-05,906
2025-03-06,967
2025-03-07,878
2025-03-08,528
2025-03-09,601
2025-03-10,963
2025-03-11,847
2025-03-12,987
2025-03-13,902
2025-03-14,779
2025-03-15,479
2025-03-16,353
2025-03-17,1013
2025-03-18,857
2025-03-19,884
2025-03-20,981
2025-03-21,799
2025-03-22,440
2025-03-23,547
2025-03-24,765
2025-03-25,919
2025-03-26,830
2025-03-27,712
2025-03-28,1060
2025-03-29,481
2025-03-30,463
2025-03-31,1081
2025-04-01,919
2025-04-02,879
2025-04-03,842
2025-04-04,531
2025-04-05,562
2025-04-06,402
2025-04-07,755
2025-04-08,868
2025-04-09,857
2025-04-10,875
2025-04-11,893
2025-04-12,246
2025-04-13,368
2025-04-14,960
2025-04-15,755
2025-04-16,819
2025-04-17,830
2025-04-18,832
2025-04-19,420
2025-04-20,516
2025-04-21,730
2025-04-22,952
2025-04-23,848
2025-04-24,950
2025-04-25,617
2025-04-26,416
2025-04-27,544
2025-04-28,789
2025-04-29,689
2025-04-30,767
2025-05-01,558
2025-05-02,544
2025-05-03,563
2025-05-04,538
2025-05-05,865
2025-05-06,1053
2025-05-07,767
2025-05-08,784
2025-05-09,346
